pair_ID	entailment_judgment	relatedness_score
6	NEUTRAL	3.502983483
7	NEUTRAL	4.243102052
8	NEUTRAL	4.34087596
10	NEUTRAL	4.306272515
11	NEUTRAL	4.274955437
13	CONTRADICTION	4.126689531
15	NEUTRAL	4.03019433
16	NEUTRAL	3.277614249
17	NEUTRAL	3.233932887
19	NEUTRAL	4.3588694
20	NEUTRAL	4.216348239
21	NEUTRAL	3.70988503
22	NEUTRAL	4.403936265
23	CONTRADICTION	4.270603695
27	NEUTRAL	4.066469275
29	NEUTRAL	4.267798038
31	NEUTRAL	4.406428516
32	ENTAILMENT	4.54172996
33	NEUTRAL	3.648877897
34	NEUTRAL	3.386976167
36	NEUTRAL	3.592498417
37	NEUTRAL	4.420437665
38	NEUTRAL	4.334634731
39	NEUTRAL	4.350103856
41	NEUTRAL	4.094823217
43	NEUTRAL	4.304263819
46	NEUTRAL	2.009373577
48	NEUTRAL	3.450035179
50	NEUTRAL	2.342215241
51	NEUTRAL	2.036618961
52	NEUTRAL	4.274579711
53	NEUTRAL	4.085713754
54	NEUTRAL	3.83265385
57	NEUTRAL	4.229061873
59	NEUTRAL	4.170117738
60	NEUTRAL	4.213317095
61	NEUTRAL	3.74332846
63	NEUTRAL	4.240333114
64	CONTRADICTION	4.270907275
66	NEUTRAL	4.529207938
67	CONTRADICTION	4.555837888
68	NEUTRAL	4.279862104
69	CONTRADICTION	4.317197768
71	CONTRADICTION	4.342792599
74	NEUTRAL	4.435126636
75	NEUTRAL	4.46363392
76	NEUTRAL	3.99889225
80	NEUTRAL	3.143030252
86	NEUTRAL	2.892179965
89	NEUTRAL	4.204159794
92	NEUTRAL	1.402559651
95	NEUTRAL	1.702081102
96	NEUTRAL	1.728849784
101	NEUTRAL	4.392048814
102	NEUTRAL	4.407854359
103	NEUTRAL	3.941810192
104	NEUTRAL	4.604871978
106	NEUTRAL	4.077350828
108	NEUTRAL	3.880282267
109	NEUTRAL	3.47054285
110	NEUTRAL	3.620705482
111	NEUTRAL	3.883065686
114	NEUTRAL	3.926548971
115	NEUTRAL	3.920534263
118	NEUTRAL	4.273074224
121	ENTAILMENT	4.604100875
123	NEUTRAL	2.635659795
125	NEUTRAL	2.210499091
128	NEUTRAL	2.155256354
132	CONTRADICTION	4.367815955
134	NEUTRAL	3.68495761
135	NEUTRAL	4.320301316
137	NEUTRAL	4.375653434
138	NEUTRAL	4.137806397
142	NEUTRAL	4.183111161
143	NEUTRAL	4.396322463
144	NEUTRAL	3.708951794
145	CONTRADICTION	4.147370196
147	NEUTRAL	3.177612365
149	NEUTRAL	4.402782455
151	NEUTRAL	4.386744959
152	NEUTRAL	3.94084153
153	NEUTRAL	4.342231468
154	NEUTRAL	3.639482179
155	NEUTRAL	4.265305012
156	NEUTRAL	4.196845175
157	NEUTRAL	4.477525153
158	ENTAILMENT	4.335367047
160	NEUTRAL	3.960471043
162	NEUTRAL	4.352178232
165	NEUTRAL	3.586204178
166	NEUTRAL	4.325178763
167	NEUTRAL	4.035169523
168	NEUTRAL	3.905225203
169	NEUTRAL	3.984366964
171	NEUTRAL	3.999811523
172	NEUTRAL	3.978788491
174	NEUTRAL	4.007373092
175	NEUTRAL	3.97715578
177	NEUTRAL	3.98699368
178	ENTAILMENT	4.147899004
179	NEUTRAL	4.097085585
180	NEUTRAL	4.225413743
181	NEUTRAL	4.034115009
182	NEUTRAL	4.121090371
